0	2	2
0	5	2
0	10	4
0	16	2
0	18	3
0	24	3
0	30	3
0	33	2
0	36	2
0	39	1
0	41	5
0	44	1
0	45	6
0	47	3
0	49	1
0	53	2
0	54	2
0	56	5
0	60	3
0	61	1
0	62	3
0	63	4
0	65	4
0	67	1
0	69	4
0	70	8
0	75	3
0	76	2
0	77	2
0	78	6
0	86	1
0	92	1
0	96	2
0	97	5
0	98	6
1	2	1
1	6	1
1	30	1
1	35	1
1	47	1
1	61	1
1	67	1
1	75	1
2	0	2
2	1	1
2	4	1
2	5	2
2	6	8
2	10	5
2	14	2
2	16	1
2	18	8
2	24	7
2	30	7
2	33	2
2	35	9
2	36	1
2	40	4
2	41	8
2	45	6
2	47	6
2	49	2
2	52	1
2	53	1
2	54	2
2	55	3
2	56	2
2	57	1
2	60	4
2	61	9
2	62	6
2	63	1
2	65	6
2	67	3
2	69	5
2	70	6
2	75	5
2	76	1
2	77	1
2	78	9
2	92	2
2	96	2
2	97	4
2	98	8
4	2	1
4	6	1
4	14	1
4	35	1
4	61	1
4	69	1
4	75	1
5	0	2
5	2	2
5	10	7
5	14	3
5	16	2
5	18	6
5	24	2
5	33	1
5	36	6
5	39	3
5	41	4
5	45	7
5	47	1
5	49	3
5	53	2
5	54	3
5	56	3
5	57	3
5	60	6
5	61	1
5	62	2
5	63	2
5	64	1
5	65	7
5	67	4
5	69	6
5	70	5
5	73	1
5	76	7
5	78	3
5	83	1
5	84	1
5	86	4
5	92	2
5	96	4
5	97	8
5	98	6
6	1	1
6	2	8
6	4	1
6	9	1
6	10	2
6	14	2
6	18	6
6	20	1
6	24	6
6	30	7
6	35	4
6	40	4
6	41	6
6	45	2
6	47	7
6	52	2
6	55	1
6	56	1
6	57	1
6	60	1
6	61	7
6	62	4
6	63	1
6	65	3
6	67	3
6	69	4
6	70	2
6	73	1
6	75	5
6	76	1
6	77	2
6	78	7
6	84	1
6	96	4
6	97	1
6	98	5
9	6	1
9	18	1
9	20	1
9	41	1
9	45	1
9	73	2
9	76	1
9	78	1
9	84	1
10	0	4
10	2	5
10	5	7
10	6	2
10	14	2
10	16	3
10	18	15
10	20	1
10	24	3
10	30	2
10	33	1
10	36	7
10	39	2
10	40	1
10	41	9
10	45	15
10	47	2
10	49	7
10	52	1
10	53	2
10	54	3
10	55	2
10	56	3
10	57	3
10	60	11
10	61	1
10	62	12
10	63	2
10	64	1
10	65	15
10	67	3
10	69	6
10	70	13
10	73	4
10	76	9
10	77	1
10	78	8
10	83	3
10	84	1
10	86	7
10	92	3
10	96	4
10	97	14
10	98	13
14	2	2
14	4	1
14	5	3
14	6	2
14	10	2
14	16	2
14	18	2
14	24	1
14	30	1
14	33	1
14	35	2
14	36	3
14	39	1
14	41	3
14	44	1
14	45	4
14	49	3
14	53	2
14	54	1
14	56	2
14	57	1
14	60	3
14	61	3
14	63	1
14	65	3
14	67	2
14	69	6
14	70	2
14	75	2
14	76	3
14	78	2
14	86	1
14	92	1
14	96	3
14	97	4
14	98	2
16	0	2
16	2	1
16	5	2
16	10	3
16	14	2
16	18	1
16	24	2
16	33	2
16	36	2
16	41	4
16	44	1
16	45	4
16	49	3
16	53	5
16	54	2
16	55	1
16	56	3
16	60	2
16	62	1
16	65	2
16	69	2
16	70	4
16	75	1
16	76	2
16	78	3
16	86	1
16	96	1
16	97	4
16	98	3
18	0	3
18	2	8
18	5	6
18	6	6
18	9	1
18	10	15
18	14	2
18	16	1
18	20	9
18	24	8
18	30	7
18	36	9
18	39	3
18	40	5
18	41	18
18	45	24
18	47	5
18	49	6
18	52	2
18	53	1
18	54	1
18	55	4
18	56	1
18	57	6
18	60	12
18	61	4
18	62	19
18	63	4
18	64	1
18	65	23
18	67	4
18	69	6
18	70	14
18	73	10
18	75	1
18	76	17
18	77	2
18	78	19
18	83	4
18	84	7
18	86	9
18	92	5
18	96	8
18	97	18
18	98	16
20	6	1
20	9	1
20	10	1
20	18	9
20	24	1
20	30	1
20	36	1
20	41	7
20	45	9
20	57	1
20	61	1
20	62	4
20	63	1
20	65	5
20	73	6
20	76	11
20	78	11
20	83	2
20	84	8
20	86	1
20	96	1
20	97	5
24	0	3
24	2	7
24	5	2
24	6	6
24	10	3
24	14	1
24	16	2
24	18	8
24	20	1
24	30	12
24	33	3
24	35	2
24	36	7
24	39	4
24	40	6
24	41	12
24	45	7
24	47	8
24	49	1
24	52	3
24	54	1
24	55	2
24	56	3
24	57	6
24	60	5
24	61	10
24	62	9
24	63	10
24	64	1
24	65	10
24	67	7
24	69	7
24	70	7
24	75	7
24	76	3
24	77	4
24	78	15
24	86	1
24	92	2
24	96	13
24	97	7
24	98	11
30	0	3
30	1	1
30	2	7
30	6	7
30	10	2
30	14	1
30	18	7
30	20	1
30	24	12
30	33	2
30	35	2
30	36	4
30	39	3
30	40	6
30	41	9
30	45	5
30	47	10
30	52	2
30	55	3
30	56	5
30	57	4
30	60	2
30	61	10
30	62	8
30	63	10
30	65	8
30	67	7
30	69	7
30	70	6
30	75	8
30	76	1
30	77	5
30	78	15
30	92	2
30	96	12
30	97	3
30	98	9
33	0	2
33	2	2
33	5	1
33	10	1
33	14	1
33	16	2
33	24	3
33	30	2
33	35	2
33	36	3
33	41	3
33	44	1
33	45	5
33	47	1
33	49	2
33	52	1
33	53	1
33	54	1
33	56	4
33	61	1
33	63	3
33	64	1
33	69	5
33	70	6
33	75	4
33	76	2
33	77	3
33	78	6
33	96	4
33	97	2
33	98	3
35	1	1
35	2	9
35	4	1
35	6	4
35	14	2
35	24	2
35	30	2
35	33	2
35	47	2
35	61	7
35	67	3
35	69	5
35	75	4
36	0	2
36	2	1
36	5	6
36	10	7
36	14	3
36	16	2
36	18	9
36	20	1
36	24	7
36	30	4
36	33	3
36	39	5
36	40	1
36	41	10
36	44	2
36	45	13
36	49	5
36	53	2
36	54	1
36	55	1
36	56	3
36	57	8
36	60	7
36	61	6
36	62	9
36	63	8
36	64	1
36	65	13
36	67	8
36	69	9
36	70	10
36	73	4
36	75	1
36	76	12
36	77	1
36	78	9
36	83	2
36	84	1
36	86	7
36	92	3
36	96	10
36	97	15
